book_id,genre_id
17,93
89,206
189,152
257,83
267,120
309,68
313,217
365,276
388,8
407,157
445,93
470,93
470,236
553,34
554,68
660,99
680,182
682,97
686,42
693,97
702,78
703,78
771,246
778,107
794,176
803,83
967,250
50,132
52,182
54,182
162,42
175,108
225,195
288,236
300,18
337,97
380,266
409,148
431,187
482,93
522,97
536,68
553,291
558,247
701,243
704,23
715,135
768,97
786,272
838,78
846,118
884,93
906,143
910,132
991,248
101,109
106,59
176,21
201,107
222,157
228,202
253,203
255,62
309,74
332,182
361,215
457,72
468,93
488,218
511,12
664,275
671,182
697,243
709,42
734,107
777,247
785,34
810,125
830,42
846,67
888,182
895,118
914,34
919,182
920,188
949,184
977,204
28,204
68,216
77,182
111,275
118,59
125,42
153,93
162,182
300,182
312,183
333,107
366,97
372,246
397,248
469,42
486,243
546,132
560,188
573,166
615,97
617,182
618,132
654,166
694,280
697,93
746,31
765,213
771,182
784,132
785,107
791,182
799,243
801,246
822,187
834,175
837,157
846,246
872,248
884,68
892,182
898,68
938,107
940,247
952,67
976,254
19,228
32,48
35,193
57,120
115,182
119,247
134,22
144,21
200,182
210,34
242,42
299,182
336,68
370,12
373,48
401,35
532,182
580,202
640,202
698,80
711,42
734,187
814,217
842,122
851,246
852,243
892,107
917,243
938,34
963,78
984,93
19,34
80,107
86,125
133,184
145,125
198,143
223,157
241,21
270,111
324,42
340,34
408,144
430,157
442,157
452,182
463,182
480,76
542,243
608,34
616,247
655,202
700,3
707,263
760,143
782,21
798,184
813,12
818,93
818,12
864,114
973,204
977,34
37,17
88,34
145,42
241,187
336,202
401,182
436,19
438,42
452,118
470,187
478,182
482,182
501,182
571,42
721,97
748,247
749,247
763,205
768,132
776,93
782,97
796,203
857,248
895,291
898,91
904,143
967,42
977,182
48,49
64,42
72,93
78,42
106,182
115,68
122,166
128,42
132,182
143,106
156,21
199,68
219,12
220,21
292,69
293,254
294,247
343,157
381,143
427,83
462,182
490,93
511,182
516,182
530,246
696,217
741,97
742,68
847,12
