book_id,book_title,author_id,num_pages,cover_type,publish_date,description,genre_ids
0,"A Breath of Snow and Ashes (Outlander, #6)",360,980,Paperback,27-09-2005, continues the extraordinary story of 18thcentury Scotsman Jamie Fraser and his 20thcentury wife Claire,"[254, 34, 246, 182, 55, 21, 0]"
1,"Tempted (House of Night, #6)",454,319,Paperback,27-10-2009,I can never leave you in peace You and I are bound We will be each others salvation or each others doom He took a step closer and I mirrored his movement by taking a step back Which shall it be Salvation or doom,"[118, 151, 246, 217, 34, 182, 203]"
2,"The Passage (The Passage, #1)",110,784,Hardcover,08-06-2010,IT HAPPENED FAST,"[223, 182, 291, 246, 135, 151, 73]"
3,"Murder on the Orient Express (Hercule Poirot, #10)",307,274,Paperback,01-01-1934,Just after midnight a snowdrift stops the famous Orient Express in its tracks as it travels through the mountainous Balkans The luxurious train is surprisingly full for the time of the year but by the morning it is one passenger fewer An American tycoon lies dead in his compartment stabbed a dozen times his door locked from the inside,"[158, 182, 48, 59, 42, 106, 1]"
4,The Hunchback of Notre-Dame,169,510,Paperback,16-03-1831,This extraordinary historical French gothic novel set in Medieval Paris under the twin towers of its greatest structure and supreme symbol the cathedral of NotreDame is the haunting drama of Quasimodo the disabled bellringer of NotreDame as he struggles to stand up to his ableist guardian Claude Frollo who also wants to commit genocide against Paris Romani population,"[97, 68, 243, 272, 143, 123, 31]"
5,One Day in the Life of Ivan Denisovich,530,182,Paperback,01-11-1962,First published in the Soviet journal ,"[97, 68, 130, 243, 147, 143, 132]"
6,Peace Like a River,157,312,Paperback,02-08-2001,Once in a great while we encounter a novel in our voluminous reading that begs to be read aloud Leif Engers debut ,"[97, 243, 292, 215, 132, 274, 180]"
7,Mansfield Park,405,488,Paperback,02-07-1814,Taken from the poverty of her parents home in Portsmouth Fanny Price is brought up with her rich cousins at Mansfield Park acutely aware of her humble rank and with her cousin Edmund as her sole ally During her uncles absence in Antigua the Crawfords arrive in the neighbourhood bringing with them the glamour of London life and a reckless taste for flirtation Mansfield Park is considered Jane Austens first mature work and with its quiet heroine and subtle examination of social position and moral integrity one of her most profound,"[97, 68, 243, 143, 42, 21, 134]"
8,The Wind in the Willows,266,197,Paperback,08-10-1908,For more than a century ,"[157, 182, 187, 246, 22, 93, 188]"
9,"World Without End (Kingsbridge, #2)",308,1237,Hardcover,04-10-2007,World Without End takes place in the same town of Kingsbridge two centuries after the townspeople finished building the exquisite Gothic cathedral that was at the heart of The Pillars of the Earth The cathedral and the priory are again at the center of a web of love and hate greed and pride ambition and revenge but this sequel stands on its own This time the men and women of an extraordinary cast of characters find themselves at a crossroads of new ideasabout medicine commerce architecture and justice In a world where proponents of the old ways fiercely battle those with progressive minds the intrigue and tension quickly reach a boiling point against the devastating backdrop of the greatest natural disaster ever to strike the human racethe Black Death,"[254, 182, 21, 42, 41, 252, 246]"
10,The Grapes of Wrath,42,496,Hardcover,14-04-1939,The Pulitzer Prizewinning epic of the Great Depression a book that galvanizedand sometimes outragedmillions of readers,"[157, 182, 243, 143, 132, 202, 184]"
11,القرآن الكريم,324,604,Hardcover,18-03-0632,The Quran English pronunciation krn Arabic  alqurn IPA quran literally meaning the recitation also transliterated Quran Koran AlCoran Coran Kuran and AlQuran is the central religious text of Islam which Muslims believe to be the verbatim word of God Arabic  Allah ,"[78, 68, 83, 175, 278, 102, 40]"
12,Rebecca,468,449,Kindle Edition,01-08-1938,The novel begins in Monte Carlo where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage Orphaned and working as a ladys maid she can barely believe her luck It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their livespresenting her with a lingering evil that threatens to destroy their marriage from beyond the grave,"[97, 166, 123, 34, 68, 243, 106]"
13,"Angels & Demons (Robert Langdon, #1)",89,736,Paperback,01-05-2000,An ancient secret brotherhood,"[97, 166, 106, 59, 144, 247, 48]"
14,"The Fellowship of the Ring (Middle Earth, #1)",70,432,Kindle Edition,29-07-1954,In ancient times the Rings of Power were crafted by the Elvensmiths and Sauron the Dark Lord forged the One Ring filling it with his own power so that he could rule all others But the One Ring was taken from him and though he sought it throughout Middleearth it remained lost to him After many ages it fell into the hands of Bilbo Baggins as told in ,"[107, 68, 182, 247, 42, 3, 23]"
15,Death of a Salesman,323,144,Hardcover,01-01-1949,Willy Loman has been a salesman for 34 years At 60 he is cast aside his usefulness now exhausted With no future to dream about he must face the crushing disappointments of his past He takes one final brave action but is he heroic at last or a selfdeluding fool,"[157, 52, 182, 91, 202, 9, 143]"
16,Archer's Voice,0,377,ebook,25-01-2014,When Bree Prescott arrives in the sleepy lakeside town of Pelion Maine she hopes against hope that this is the place where she will finally find the peace she so desperately seeks On her first day there her life collides with Archer Hale an isolated man who holds a secret agony of his own A man no one else sees,"[16, 12, 125, 18, 182, 204, 42]"
17,"Scarlet (The Lunar Chronicles, #2)",240,454,Hardcover,05-02-2013,Cinder is back and trying to break out of prisoneven though shell be the Commonwealths most wanted fugitive if she doesin this second installment from Marissa Meyer ,"[107, 93, 291, 34, 73, 8, 182]"
18,"The Golden Compass (His Dark Materials, #1)",516,399,Hardcover,01-07-1995,Lyra is rushing to the cold far North where witch clans and armored bears rule North where the Gobblers take the children they stealincluding her friend Roger North where her fearsome uncle Asriel is trying to build a bridge to a parallel world,"[107, 93, 182, 187, 247, 188, 42]"
19,Tender Is the Night,208,430,Paperback,12-04-1934,Set on the French Riviera in the late 1920s ,"[157, 182, 143, 34, 184, 132, 228]"
20,Slaughterhouse-Five,517,275,Paperback,31-03-1969, an American classic is one of the worlds great antiwar books Centering on the infamous World War II firebombing of Dresden the novel is the result of what Kurt Vonnegut described as a twentythreeyear struggle to write a book about what he had witnessed as an American prisoner of war It combines historical fiction science fiction autobiography and satire in an account of the life of Billy Pilgrim a barbers son turned draftee turned optometrist turned alien abductee As Vonnegut had Billy experiences the destruction of Dresden as a POW Unlike Vonnegut he experiences time travel or coming unstuck in time,"[97, 291, 68, 243, 209, 143, 132]"
21,The Roommate,550,275,Kindle Edition,24-02-2021,He thought his life couldnt get any worse,"[25, 110, 182, 166, 247, 144, 91]"
22,The Shipping News,58,337,Paperback,01-01-1993,At thirtysix Quoyle a thirdrate newspaperman is wrenched violently out of his workaday life when his twotiming wife meets her just deserts He retreats with his two daughters to his ancestral home on the starkly beautiful Newfoundland coast where a rich cast of local characters all play a part in Quoyles struggle to reclaim his life As three generations of his family cobble up new lives Quoyle confronts his private demonsand the unpredictable forces of nature and societyand begins to see the possibility of love without pain or misery,"[97, 12, 215, 77, 143, 132, 68]"
23,"Linger (The Wolves of Mercy Falls, #2)",192,362,Hardcover,13-07-2010,Once Grace and Sam have found each other they know they must fight to stay together For Sam this means a reckoning with his werewolf past For Grace it means facing a future that is less and less certain,"[118, 246, 34, 217, 200, 182, 263]"
24,The Night Before Christmas,499,32,Hardcover,23-12-1823,This poem first appeared in a newspaper in Troy New York USA on December 23 1823 as A Visit From St Nicholas No one claimed authorship until 13 years later Clement Clarke Moore a professor and poet said that he wrote the piece for his children Unbeknownst to him his housekeeper had sent it to the newspaper to be published However the family of Henry Livingston Jr contended that their father had been reciting A Visit from St Nicholas for 15 years prior to publication Regardless of the true author the poem is now a Christmas classic,"[169, 187, 19, 68, 275, 182, 286]"
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",595,759,Hardcover,21-07-2007,Harry has been burdened with a dark dangerous and seemingly impossible task that of locating and destroying Voldemorts remaining Horcruxes Never has Harry felt so alone or faced a future so full of shadows But Harry must somehow find within himself the strength to complete the task he has been given He must leave the warmth safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him,"[107, 93, 182, 236, 187, 42, 247]"
26,"The Eyre Affair (Thursday Next, #1)",335,374,Paperback,19-07-2001,Great Britain circa 1985 time travel is routine cloning is a reality dodos are the resurrected pet of choice and literature is taken very very seriously Baconians are trying to convince the world that Francis Bacon really wrote Shakespeare there are riots between the Surrealists and Impressionists and thousands of men are named John Milton an homage to the real Milton and a very confusing situation for the police Amidst all this Acheron Hades Third Most Wanted Man In the World steals the original manuscript of Martin Chuzzlewit and kills a minor character who then disappears from every volume of the novel ever printed But thats just a prelude   ,"[107, 182, 166, 291, 76, 170, 55]"
