genre_id,genre_name
0,Historical Romance
1,Detective
2,Liberia
3,High Fantasy
4,Modern Classics
5,World War II
6,Christian
7,Asia
8,Retellings
9,Theatre
10,Political Science
11,Nigeria
12,Contemporary
13,Philosophy
14,Sports
15,Crime
16,Romance
17,Short Stories
18,New Adult
19,Picture Books
20,Journalism
21,Historical
22,Animals
23,Science Fiction Fantasy
24,Graphic Novels
25,Thriller
26,Ireland
27,Science
28,Southern
29,Sierra Leone
30,Cats
31,French Literature
32,Christian
33,Italian Literature
34,Romance
35,Epic Fantasy
36,Environment
37,Legal Thriller
38,Dragons
39,Essays
40,Theology
41,Medieval
42,Audiobook
43,Noir
44,Fantasy Romance
45,Africa
46,France
47,Australia
48,Crime
49,Japanese Literature
50,Apocalyptic
51,Lds
52,Plays
53,Adventure
54,Fairies
55,Time Travel
56,Vampires
57,Africa
58,Productivity
59,Mystery Thriller
60,Aliens
61,Westerns
62,Plays
63,High School
64,Japan
65,Native American
66,Sociology
67,Urban Fantasy
68,Classics
69,Epic
70,Drama
71,Prehistoric
72,Picture Books
73,Dystopia
74,Poetry
75,Art History
76,Humor
77,Canada
78,Nonfiction
79,Inspirational
80,Holocaust
81,Counting
82,Travel
83,Philosophy
84,Communication
85,Greek Mythology
86,Comedy
87,Germany
88,Autistic Spectrum Disorder
89,Comics
90,True Crime
91,Drama
92,Biology
93,Young Adult
94,Presidents
95,Christianity
96,Nonfiction
97,Fiction
98,Religion
99,Abuse
100,Storytime
101,Chick Lit
102,History
103,Spain
104,Leadership
105,Czech Literature
106,Thriller
107,Fantasy
108,Travel
109,Greek Mythology
110,Psychological Thriller
111,Physics
112,Education
113,Botswana
114,LGBT
115,Medicine
116,Ethiopia
117,Romantic
118,Young Adult
119,Self Help
120,German Literature
121,Biography
122,Young Adult Fantasy
123,Gothic
124,Egypt
125,Contemporary Romance
126,Finance
127,Comic Book
128,Relationships
129,Arthurian
130,Russia
131,Indigenous
132,Novels
133,Erotica
134,19th Century
135,Post Apocalyptic
136,Space Opera
137,Biography Memoir
138,Horses
139,Faith
140,Pirates
141,Espionage
142,BDSM
143,Literature
144,Suspense
145,Personal Development
146,Business
147,Russian Literature
148,Zombies
149,Nutrition
150,Read For School
151,Vampires
152,Mythology
153,New Adult
154,Chick Lit
155,History
156,Survival
157,Classics
158,Mystery
159,Witches
160,Medical
161,India
162,Dark
163,Speculative Fiction
164,Health
165,Architecture
166,Mystery
167,Media Tie In
168,Kids
169,Christmas
170,Books About Books
171,New York
172,Memoir
173,Mystery Thriller
174,Teen
175,Religion
176,Realistic Fiction
177,European Literature
178,Atheism
179,Dragons
180,Adult Fiction
181,Christian Fiction
182,Fiction
183,Short Stories
184,American
185,Writing
186,Christmas
187,Childrens
188,Middle Grade
189,Paranormal
190,African American
191,Feminism
192,Self Help
193,Italy
194,College
195,Politics
196,Angels
197,Asian Literature
198,Anthologies
199,Dogs
200,Werewolves
201,Food
202,School
203,Supernatural
204,Adult
205,Dystopia
206,Science Fiction
207,Scotland
208,Portugal
209,War
210,Christian Fiction
211,Action
212,Banned Books
213,Mental Illness
214,Buddhism
215,Literary Fiction
216,Magical Realism
217,Paranormal
218,Victorian
219,Fae
220,Fairy Tales
221,Graphic Novels Comics
222,Young Adult Romance
223,Horror
224,Dark
225,Southern Gothic
226,Urban Fantasy
227,China
228,20th Century
229,Anthropology
230,Military Fiction
231,Irish Literature
232,Evolution
233,Popular Science
234,Greece
235,Gay
236,Magic
237,Social Justice
238,Civil War
239,American History
240,Not Available
241,Astronomy
242,Jewish
243,Historical Fiction
244,Reference
245,Mythology
246,Fantasy
247,Adventure
248,Horror
249,Queer
250,Space
251,Race
252,British Literature
253,Church
254,Historical Fiction
255,Cyberpunk
256,Marriage
257,Psychology
258,Collections
259,Judaism
260,18th Century
261,Love
262,Novels
263,Paranormal Romance
264,Classic Literature
265,Cozy Mystery
266,Monsters
267,Steampunk
268,Romantasy
269,Indian Literature
270,South Africa
271,Science
272,France
273,Music
274,Coming Of Age
275,Poetry
276,Mental Health
277,Humor
278,Spirituality
279,Autobiography
280,Childrens
281,Halloween
282,Graphic Novels
283,Spanish Literature
284,Contemporary
285,Erotic Romance
286,Holiday
287,Economics
288,Nature
289,Art
290,Family
291,Science Fiction
292,Book Club
293,Paranormal Romance
294,World War I
